시도,시군구,구분,2012,,,,,,,,,,,,,,,,,,2013,,,,,,,,,,,,,,,,,,2014,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,
,,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,,합계,단일로,,,,,,교차로,,,건널목,,기타/불명,,고가도로위,,지하도로내,
,,,합계,합계,횡단보도상,횡단보도부근,터널안,교량위,기타단일로,합계,교차로내,교차로부근,합계,건널목,합계,기타/불명,합계,고가도로위,합계,지하도로내,합계,합계,횡단보도상,횡단보도부근,터널안,교량위,기타단일로,합계,교차로내,교차로부근,합계,건널목,합계,기타/불명,합계,고가도로위,합계,지하도로내,합계,합계,횡단보도상,횡단보도부근,터널안,교량위,기타단일로,합계,교차로내,교차로부근,합계,건널목,합계,기타/불명,합계,고가도로위,합계,지하도로내,합계,합계,횡단보도상,횡단보도부근,터널안,교량위,기타단일로,합계,교차로내,교차로부근,합계,건널목,합계,기타/불명,합계,고가도로위,합계,지하도로내,합계,합계,횡단보도상,횡단보도부근,터널안,교량위,기타단일로,합계,교차로내,교차로부근,합계,건널목,합계,기타/불명,합계,고가도로위,합계,지하도로내
합계,합계,발생건수,223656,119564,7689,3042,589,1586,106658,97002,60055,36947,9,9,6322,6322,501,501,258,258,215354,111756,6464,2152,539,1249,101352,95816,60253,35563,4,4,6959,6959,542,542,277,277,223552,116604,6502,1978,539,1214,106371,99068,62894,36174,2,2,7091,7091,530,530,257,257,232035,121886,6312,2123,638,1248,111565,103885,66711,37174,5,5,5552,5552,456,456,251,251,220917,115543,6009,1744,535,1219,106036,99249,64488,34761,6,6,5526,5526,366,366,227,227
,,사망자수,5392,3755,239,100,44,87,3285,1475,922,553,3,3,122,122,28,28,9,9,5092,3430,194,63,23,63,3087,1479,897,582,3,3,156,156,17,17,7,7,4762,3169,194,51,20,56,2848,1443,886,557,0,0,110,110,25,25,15,15,4621,3100,185,49,32,49,2785,1407,915,492,1,1,97,97,6,6,10,10,4292,2823,172,38,27,50,2536,1336,851,485,0,0,106,106,14,14,13,13
,,부상자수,344565,178879,8187,4108,1373,2962,162249,155688,96994,58694,12,12,8577,8577,966,966,443,443,328711,165418,6876,2789,1205,2354,152194,152391,96343,56048,3,3,9396,9396,989,989,514,514,337497,171534,6947,2621,1173,2254,158539,155228,99555,55673,2,2,9264,9264,985,985,484,484,350400,179718,6725,2861,1600,2455,166077,162099,105475,56624,5,5,7317,7317,862,862,399,399,331720,169561,6377,2251,1224,2244,157465,153774,101406,52368,8,8,7366,7366,639,639,372,372
,,중상자수,101703,55010,4140,1425,421,938,48086,43713,28985,14728,7,7,2595,2595,256,256,122,122,95361,49931,3519,941,347,636,44488,42252,28386,13866,2,2,2788,2788,263,263,125,125,93047,48600,3332,890,309,596,43473,41370,28093,13277,2,2,2696,2696,248,248,131,131,92522,48990,3117,867,346,587,44073,41423,28475,12948,4,4,1781,1781,228,228,96,96,82463,43355,2984,764,281,499,38827,37004,25728,11276,5,5,1860,1860,156,156,83,83
,,경상자수,227590,115370,3757,2500,870,1874,106369,105617,63975,41642,5,5,5639,5639,667,667,292,292,215787,106147,3060,1694,800,1593,99000,102573,63216,39357,1,1,6045,6045,677,677,344,344,223375,111528,3268,1551,781,1509,104419,104976,65781,39195,0,0,5870,5870,691,691,310,310,233646,117696,3220,1748,1155,1682,109891,110137,70209,39928,1,1,4946,4946,582,582,284,284,226283,113829,3055,1345,845,1579,107005,106826,69236,37590,3,3,4909,4909,452,452,264,264
,,부상신고자수,15272,8499,290,183,82,150,7794,6358,4034,2324,0,0,343,343,43,43,29,29,17563,9340,297,154,58,125,8706,7566,4741,2825,0,0,563,563,49,49,45,45,21075,11406,347,180,83,149,10647,8882,5681,3201,0,0,698,698,46,46,43,43,24232,13032,388,246,99,186,12113,10539,6791,3748,0,0,590,590,52,52,19,19,22974,12377,338,142,98,166,11633,9944,6442,3502,0,0,597,597,31,31,25,25
서울,합계,발생건수,40829,24582,1992,1067,83,356,21084,14991,8765,6226,1,1,1058,1058,132,132,65,65,39439,22907,1661,818,102,382,19944,15078,8869,6209,,,1230,1230,151,151,73,73,40792,23596,1641,725,90,373,20767,15754,9116,6638,,,1243,1243,132,132,67,67,41665,24030,1539,779,96,333,21283,16492,9565,6927,,,963,963,120,120,60,60,40039,23347,1413,656,93,301,20884,15609,9360,6249,,,936,936,96,96,51,51
,,사망자수,424,301,45,18,1,7,230,113,67,46,0,0,7,7,3,3,0,0,378,257,29,7,3,6,212,108,65,43,,,8,8,5,5,0,0,400,267,45,13,4,4,201,118,74,44,,,7,7,6,6,2,2,376,246,29,12,6,2,197,120,75,45,,,6,6,0,0,4,4,348,206,15,8,3,3,177,131,86,45,,,6,6,1,1,4,4
,,부상자수,58583,34591,2158,1436,145,659,30193,22292,13075,9217,1,1,1375,1375,237,237,87,87,56761,32577,1799,1067,199,693,28819,22155,13019,9136,,,1612,1612,292,292,125,125,57345,32787,1772,953,144,735,29183,22616,13203,9413,,,1570,1570,246,246,126,126,58656,33389,1680,1049,208,710,29742,23748,13888,9860,,,1216,1216,210,210,93,93,55669,32114,1549,859,176,486,29044,22176,13540,8636,,,1143,1143,160,160,76,76
