지점,발생지시도,발생지시군구
90,강원,속초시
93,강원,북춘천
95,강원,철원시
98,경기,동두천시
99,경기,파주시
100,강원,대관령
101,강원,춘천시
102,인천,백령도
104,강원,북강릉
105,강원,강릉
106,강원,동해
108,서울,서울
112,인천,인천
114,강원,원주시
115,강원,울릉도
119,경기,수원
121,강원,영월
127,충북,충주
129,충남,서산
130,경북,울진
131,충북,청주
133,대전,대전
135,강원,추풍령
136,경북,안동
137,경북,상주
138,경북,포항
140,전북,군산
143,대구,대구
146,전북,전주
152,울산,울산
155,경남,창원
156,광주,광주
159,부산,부산
162,경남,통영
165,전남,목포
168,전남,여수
169,전남,흑산도
170,전남,완도
172,전북,고창
174,전남,순천
175,전남,진도(첨찰산)
184,제주,제주
185,전북,고산
188,제주,성산
189,제주,서귀포
192,경남,진주
201,인천,강화
202,경기,양평
203,경기,이천
211,강원,인제
212,강원,홍천
216,강원,태백
221,충북,제천
226,충북,보은
232,충남,천안
235,충남,보령
236,충남,부여
238,충남,금산
243,전북,부안
244,전북,임실
245,전북,정읍
247,전북,남원
248,전북,장수
260,경북,장흥
261,전남,해남
262,전남,고흥
268,전남,진도군
271,경북,봉화
272,경북,영주
273,경북,문경
277,경북,영덕
278,경북,의성
279,경북,구미
281,경북,영천
284,경남,거창
285,경남,합천
288,경남,밀양
289,경남,산청
294,경남,거제
295,경남,남해
